"SERVICE REQUEST TYPE","SERVICE REQUEST NUMBER","DATE SERVICE REQUEST WAS RECEIVED","LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).","IS THE BUILDING DANGEROUS OR HAZARDOUS?","IS BUILDING OPEN OR BOARDED?","IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?","IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?","IS THE BUILDING VACANT DUE TO FIRE?","ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)","ADDRESS STREET NUMBER","ADDRESS STREET DIRECTION","ADDRESS STREET NAME","ADDRESS STREET SUFFIX","ZIP CODE","X COORDINATE","Y COORDINATE","Ward","Police District","Community Area","LATITUDE","LONGITUDE","Location"
"Vacant/Abandoned Building","18-03310225","12/07/2018","Front",,"Open",,"Vacant","true","true","6327","S","ADA","ST","60636","1168406.63243089","1862804.0405749","16","7","67","41.77906257404","-87.65815276228","(41.779062574041, -87.658152762279)"
"Vacant/Abandoned Building","18-03305533","12/07/2018",,,,,,,,"4410","S","SHIELDS","AVE","60609","1174712.1361274","1875650.61991969","3","9","37","41.81417670903","-87.63465349132","(41.814176709026, -87.634653491319)"
"Vacant/Abandoned Building","18-03307029","12/07/2018","Front",,"Open","FRONT AND REAR","Vacant","false","true","1128","N","SPRINGFIELD","AVE","60651","1150177.84887514","1907243.72080205","37","11","23","41.90138413492","-87.72382566092","(41.901384134921, -87.723825660922)"
"Vacant/Abandoned Building","18-03307026","12/07/2018","Front",,"Open",,"Vacant","false","false","8551","S","SAGINAW","AVE","60617","1195313.0059765","1848785.26941372","7","4","46","41.73997197707","-87.55997502517","(41.739971977073, -87.559975025166)"
"Vacant/Abandoned Building","18-03308373","12/07/2018","Front",,"Open","NOT BOARDED AT ALL","Vacant","false","true","5520","W","QUINCY","ST","60644","1139751.52271478","1898457.59548097","29","15","25","41.87747080052","-87.76233784811","(41.877470800516, -87.762337848114)"
"Vacant/Abandoned Building","18-03304465","12/06/2018","Front",,"Open","FRONT AND REAR","Vacant","true","false","322","S","KOSTNER","AVE","60624","1147110.69478981","1898088.57572022","28","11","26","41.87632063897","-87.7353260862","(41.876320638968, -87.735326086201)"
"Vacant/Abandoned Building","18-03300166","12/06/2018","Front",,"Boarded","WINDOWS","Vacant","false","true","7832","S","UNION","AVE","60620","1172995.6747","1852802.3612","6","6","71","41.75151665467","-87.6416238129","(41.75151665467, -87.641623812901)"
"Vacant/Abandoned Building","18-03300859","12/06/2018","Rear",,"Open","REAR","Vacant","false","true","7915","S","EMERALD","AVE","60620","1172674.36978425","1852387.25167716","17","6","71","41.75038462345","-87.6428134475","(41.750384623452, -87.6428134475)"
"Vacant/Abandoned Building","18-03298056","12/06/2018","Front",,"Open",,"Vacant","false","false","840","N","LEAMINGTON","AVE","60651","1141869.72018778","1905108.3816142","37","15","25","41.89568243849","-87.75439553981","(41.895682438491, -87.754395539812)"
"Vacant/Abandoned Building","18-03304548","12/06/2018","Garage",,"Open",,"Vacant","false","true","108","N","WALLER","AVE","60644","1138144.03678425","1900226.1628995","29","15","25","41.88235317791","-87.7681974344","(41.882353177908, -87.768197434401)"
"Vacant/Abandoned Building","18-03300101","12/06/2018","Front",,"Open","SIDE REAR DOOR","Vacant","false","true","7815","S","EMERALD","AVE","60620","1172657.74418296","1852977.38676671","6","6","71","41.75200439578","-87.64285701657","(41.752004395778, -87.642857016572)"
"Vacant/Abandoned Building","18-03298063","12/06/2018","Front",,"Open",,"Vacant","false","false","710","N","LONG","AVE","60644","1140192.74000132","1904175.78001485","37","15","25","41.89315415291","-87.76057766069","(41.893154152915, -87.76057766069)"
"Vacant/Abandoned Building","18-03298061","12/06/2018","Front",,"Open",,"Vacant","false","false","3318","W","MONROE","ST","60624","1154294.13832037","1899342.07353039","28","11","27","41.87961999661","-87.7089172369","(41.879619996607, -87.708917236899)"
"Vacant/Abandoned Building","18-03298745","12/06/2018","Front",,"Open","GATED LOT","Vacant","false","true","5032","S","SEELEY","AVE","60609","1163541.03501436","1871289.79076981","15","9","61","41.80245200444","-87.67575259321","(41.802452004436, -87.675752593206)"
"Vacant/Abandoned Building","18-03303182","12/06/2018","Front",,"Open",,"Occupied","false","false","3435","W","71ST","ST","60629","1154694.80008678","1857319.32999667","17","8","66","41.76429611961","-87.70856805294","(41.764296119614, -87.708568052941)"
"Vacant/Abandoned Building","18-03298101","12/06/2018","Front",,"Open",,"Vacant","false","false","540","N","LEAMINGTON","AVE","60644","1141936.07131671","1903083.90912926","37","15","25","41.89012581581","-87.75420203061","(41.890125815808, -87.754202030605)"
"Vacant/Abandoned Building","18-03302045","12/06/2018","Front",,"Open","DOORS AND WINDOWS ARE WIDE OPEN...","Vacant","false","true","8702","S","MARQUETTE","AVE","60617","1195764.32002251","1847800.74998666","7","4","46","41.73725923362","-87.55835398843","(41.737259233622, -87.558353988428)"
"Vacant/Abandoned Building","18-03300111","12/06/2018","Front",,"Open","WINDOWS ALL AROUND","Vacant","false","true","7936","S","UNION","AVE","60620","1173011.14701552","1852255.73957817","17","6","71","41.75001631394","-87.64158321917","(41.750016313938, -87.64158321917)"
"Vacant/Abandoned Building","18-03300079","12/06/2018","Front",,"Open","REAR DOOR","Vacant","false","true","7936","S","LOWE","AVE","60620","1173345.16387504","1852263.97193226","17","6","71","41.75003152889","-87.64035899588","(41.750031528889, -87.640358995883)"
"Vacant/Abandoned Building","18-03302349","12/06/2018",,,,,,,,"10657","S","WENTWORTH","AVE","60628","1176838.10393122","1834200.26368926","34","5","49","41.70038442443","-87.62810168223","(41.700384424432, -87.628101682226)"
"Vacant/Abandoned Building","18-03298258","12/06/2018","Front",,"Open","FRONT AND REAR","Vacant","false","false","2137","W","ERIE","ST","60612","1162039.20931522","1904320.90842742","26","12","24","41.89312418985","-87.6803393273","(41.893124189853, -87.680339327297)"
"Vacant/Abandoned Building","18-03303568","12/06/2018","Front",,"Boarded","BACK DOOR","Vacant","false","true","4044","W","FIFTH","AVE","60624","1149527.11148078","1896784.27388998","24","11","26","41.87269494303","-87.72648759507","(41.872694943027, -87.72648759507)"
"Vacant/Abandoned Building","18-03300760","12/06/2018","Front",,"Boarded","SIDE WINDOWS HAVE LADDER STANDING ON SIDE OF HOME","Vacant","false","true","7822","S","UNION","AVE","60620","1172992.71356718","1852913.10597247","6","6","71","41.75182061772","-87.64163140138","(41.751820617718, -87.641631401377)"
"Vacant/Abandoned Building","18-03298870","12/06/2018","Front",,"Open","FRONT","Vacant","false","false","4733","W","GLADYS","AVE","60644","1144891.76680043","1897933.76393416","28","11","25","41.87593795172","-87.74347724192","(41.875937951721, -87.743477241923)"
"Vacant/Abandoned Building","18-03300056","12/06/2018","Front",,"Open","FRONT WINDOW","Vacant","false","true","7941","S","UNION","AVE","60620","1173012.14701552","1852222.13957817","17","6","71","41.74992408918","-87.64158054464","(41.749924089182, -87.641580544644)"
"Vacant/Abandoned Building","18-03290864","12/05/2018","Front",,"Open",,"Vacant","false","true","7401","S","DOBSON","AVE","60619","1184517.72740941","1855685.38181814","8","3","69","41.75916600005","-87.59931124168","(41.759166000052, -87.599311241684)"
"Vacant/Abandoned Building","18-03292011","12/05/2018",,,,,,,,"5006","S","ELIZABETH","ST","60609","1168837.90991796","1871583.08310534","20","9","61","41.80314398726","-87.65631820916","(41.803143987256, -87.656318209159)"
"Vacant/Abandoned Building","18-03293123","12/05/2018","Front",,"Open","NOT BOARDED AT ALL","Vacant","false","false","7820","S","RHODES","AVE","60619","1181258.83153328","1853277.7488044","6","6","69","41.75263488217","-87.61132889157","(41.752634882167, -87.611328891573)"
"Vacant/Abandoned Building","18-03292723","12/05/2018",,,,,,,,"4711","W","WARWICK","AVE","60641","1144322.81352989","1924513.39567564","30","17","15","41.9488859754","-87.74489671513","(41.948885975405, -87.744896715127)"
"Vacant/Abandoned Building","18-03291676","12/05/2018","Rear",,"Boarded",,"Vacant","false","false","10706","S","LANGLEY","AVE","60628","1182811.17617904","1834097.07990395","9","5","50","41.69996497559","-87.60623395797","(41.699964975587, -87.606233957968)"
"Vacant/Abandoned Building","18-03294396","12/05/2018","Front",,"Open",,"Vacant","false","false","2015","W","70TH","ST","60636","1164132.92811171","1858236.43622161","17","7","67","41.76661946325","-87.67394898376","(41.76661946325, -87.673948983761)"
"Vacant/Abandoned Building","18-03295800","12/05/2018","Rear",,"Open","REAR","Vacant","false","false","7705","S","HALSTED","ST","60620","1172302.81810543","1853767.70371441","17","6","71","41.75418093545","-87.6441344582","(41.754180935451, -87.644134458201)"
"Vacant/Abandoned Building","18-03297048","12/05/2018","Front",,"Open","FRONT AND REAR","Vacant","false","false","9438","S","JUSTINE","ST","60620","1167658.01088895","1842132.32021818","21","22","73","41.72235260441","-87.66148904529","(41.722352604414, -87.661489045294)"
"Vacant/Abandoned Building","18-03296115","12/05/2018","Front",,"Open","FRONT BASEMENT DOOR","Vacant","false","true","2622","W","24TH","ST","60608","1159264.21637218","1887975.06351873","12","10","30","41.84832710023","-87.69098008694","(41.848327100227, -87.690980086939)"
"Vacant/Abandoned Building","18-03296429","12/05/2018","Front",,"Open",,"Vacant","false","false","5632","S","HONORE","ST","60636","1164980.07456591","1867328.10777737","15","7","67","41.7915503321","-87.67058702359","(41.791550332096, -87.670587023594)"
"Vacant/Abandoned Building","18-03295761","12/05/2018","Rear",,"Open","REAR","Vacant","false","false","4055","W","MAYPOLE","AVE","60624","1149225.62859134","1901141.84689692","28","11","26","41.8846584585","-87.72748154947","(41.884658458496, -87.727481549468)"
"Vacant/Abandoned Building","18-03293677","12/05/2018","Front",,"Open",,"Vacant","false","true","5345","S","ROCKWELL","ST","60632","1159945.52832864","1869125.71159416","14","9","63","41.79658821529","-87.68899841316","(41.79658821529, -87.688998413157)"
"Vacant/Abandoned Building","18-03295933","12/05/2018","Front",,"Open","BACK AND FRONT","Vacant","false","true","528","E","92ND","PL","60619","1181631.33002088","1843766.65000696","9","6","44","41.72652675553","-87.61025670139","(41.726526755532, -87.61025670139)"
"Vacant/Abandoned Building","18-03292722","12/05/2018",,,,,,,,"4655","W","ARTHINGTON","ST","60644","1145472.59700677","1895623.58992656","24","11","25","41.86958757767","-87.74140311101","(41.869587577668, -87.741403111012)"
"Vacant/Abandoned Building","18-03296094","12/05/2018","Front",,"Open",,"Vacant","false","false","2901","S","QUINN","ST","60608","1170294.7860894","1885353.04827629","11","9","60","41.84089851491","-87.65057387002","(41.840898514907, -87.650573870016)"
"Vacant/Abandoned Building","18-03289517","12/04/2018","Front",,"Boarded",,"Vacant","true","false","7438","S","PHILLIPS","AVE","60649","1193937.99368141","1855994.80011245","7","3","43","41.75978931019","-87.56477683847","(41.75978931019, -87.564776838474)"
"Vacant/Abandoned Building","18-03287968","12/04/2018","Rear",,"Boarded",,"Vacant","false","false","6522","S","ASHLAND","AVE","60636","1166792.10617376","1861467.14362213","15","7","67","41.77542859227","-87.66410991283","(41.775428592271, -87.664109912834)"
"Vacant/Abandoned Building","18-03282545","12/04/2018","Front",,"Open","BEING USED AS A DUMPING GROUND","Vacant","false","true","7200","S","CAMPBELL","AVE","60629","1160954.59119782","1856832.65358087","18","8","66","41.76283355097","-87.68563761313","(41.762833550971, -87.685637613127)"
"Vacant/Abandoned Building","18-03287471","12/04/2018","Front",,"Open","BACK AND SIDE BASEMENT DOORS, REAR WINDOWS","Vacant","false","true","6446","S","BELL","AVE","60636","1162512.49001219","1861861.66998884","16","8","66","41.77660154381","-87.67978756281","(41.776601543805, -87.679787562807)"
"Vacant/Abandoned Building","18-03284748","12/04/2018","Front",,"Open","ALL AROUND","Vacant","true","false","4630","S","EVANS","AVE","60653","1182033.00987713","1874474.73991105","4","2","38","41.81078352888","-87.60783648985","(41.810783528879, -87.607836489846)"
"Vacant/Abandoned Building","18-03287735","12/04/2018","Garage",,"Open","GARAGE","Vacant","false","true","8951","S","UNION","AVE","60620","1173207.3733661","1845567.41457723","21","22","71","41.73165833709","-87.64106132167","(41.731658337087, -87.641061321672)"
"Vacant/Abandoned Building","18-03285936","12/04/2018","Front",,"Open",,"Vacant","true","false","1844","N","WINCHESTER","AVE","60622","1163066.08258108","1912290.36010019","32","14","22","41.91497144503","-87.67634384751","(41.914971445028, -87.676343847507)"
"Vacant/Abandoned Building","18-03285580","12/04/2018","Front",,"Open","ALL DEBRIS STILL LEFT ON SITE AND NEXT DOOR 6047 S KILDARE","Vacant","true","false","6049","S","KILDARE","AVE","60629","1148740.30038748","1864142.57521455","13","8","65","41.78313683604","-87.73021769509","(41.783136836042, -87.730217695095)"
"Vacant/Abandoned Building","18-03283448","12/04/2018","Front",,"Open",,"Vacant","false","false","11592","S","MICHIGAN","AVE","60628","1178922.60620396","1827780.23110415","9","5","53","41.68271984084","-87.62066357113","(41.682719840845, -87.620663571127)"
"Vacant/Abandoned Building","18-03288637","12/04/2018","Front",,"Open","FRONT AND REAR","Vacant","false","true","11713","S","MORGAN","ST","60643","1171763.54721546","1827147.76988625","34","5","53","41.68114378512","-87.64688850666","(41.681143785119, -87.64688850666)"
"Vacant/Abandoned Building","18-03283446","12/04/2018","Front",,"Open",,"Vacant","false","true","12709","S","UNION","AVE","60628","1173970.84200641","1820560.1737216","9","5","53","41.66301779986","-87.63900296415","(41.66301779986, -87.639002964151)"
"Vacant/Abandoned Building","18-03274210","12/03/2018","Front",,"Open","FRONT","Vacant","false","true","7642","S","DR MARTIN LUTHER KING JR","DR","60619","1180229.83310452","1854426.91448807","6","6","69","41.7558119535","-87.61506455454","(41.755811953498, -87.615064554536)"
"Vacant/Abandoned Building","18-03278660","12/03/2018","Front",,"Open","BACK DOOR AND BASEMENT DOOR","Vacant","false","true","3928","W","FILLMORE","ST","60624","1150356.90151751","1895083.57818195","24","11","29","41.8680119002","-87.7234853933","(41.8680119002, -87.723485393299)"
"Vacant/Abandoned Building","18-03277221","12/03/2018",,,,,,,,"12023","S","PRINCETON","AVE","60628","1176446.74179659","1825203.6729833","34","5","53","41.67570521071","-87.62980372345","(41.675705210708, -87.629803723446)"
"Vacant/Abandoned Building","18-03281352","12/03/2018","Front",,"Open",,"Vacant","false","true","1434","S","HARDING","AVE","60623","1150278.56003097","1892857.94768866","24","10","29","41.86190603552","-87.7238310121","(41.861906035524, -87.723831012096)"
"Vacant/Abandoned Building","18-03274619","12/03/2018","Front",,"Open",,"Vacant","false","false","6550","S","WOLCOTT","AVE","60636","1164803.0739154","1861564.42782272","15","7","67","41.77573779606","-87.67139875054","(41.775737796064, -87.671398750536)"
"Vacant/Abandoned Building","18-03275113","12/03/2018",,,,,,,,"7200","S","MORGAN","ST","60621","1170889.02437301","1857082.89110488","6","7","68","41.76330919614","-87.64921893018","(41.76330919614, -87.649218930183)"
"Vacant/Abandoned Building","18-03274148","12/03/2018","Front",,"Open",,"Vacant","false","true","4117","S","ALBANY","AVE","60632","1156365.15226863","1877087.0386849","15","9","58","41.81850805414","-87.70191359512","(41.818508054143, -87.701913595124)"
"Vacant/Abandoned Building","18-03276156","12/03/2018","Front",,"Boarded",,"Vacant","true","false","7913","S","WOODLAWN","AVE",,"1185588.44843443","1852709.46641188","8","4","45","41.75097465996","-87.59548068298","(41.75097465996, -87.595480682979)"
"Vacant/Abandoned Building","18-03275145","12/03/2018",,,,,,,,"727","E","61ST","ST","60637","1182228.22012708","1864726.96527323","20","3","42","41.78403028537","-87.60742241257","(41.78403028537, -87.607422412569)"
